sapa2;sapa-sapa
dng;dengan
termurahhh;termurah
banyaaaaaak;banyak
baik2nya;baik-baiknya
tunjukan;tunjukkan
bagus2;bagus-bagus
ngasih2;mengasih-ngasih
amit2;amit-amit
ngajuin;mengajukan
terbaeq;terbaik
namany;namanya
jels;jelas
diakibtkn;diakibatkan
jelek2;jelek-jelek
dsrny;dasarnya
jkrta;jakarta
mantaap;mantap
lanjutkaaaaan;lanjutkan
hiduppp;hidup
ncek;encek
majuuu;maju
teruuss;terus
kdg2;kadang-kadang
looohh;loh
sebelumbya;sebelumnya
tunjukin;tunjukkan
"tahun""";tahun-tahun
jkt;jakarta
nyampein;menyampaikan
hokiii;hoki
"bangt""";banget-banget
nafkahin;menafkahi
ngitem;menghitam
banyaaaak;banyak
lhat;lihat
cantika;cantik
fillm;film
jendral;jenderal
nanya;tanya
maenya;mainnya
sinet;sinetron
cantiks;cantik
pilm;film
"nangis""";menangis-nangis
cini;sini
jaaangan;jangan
terimaksih;terima kasih
kaannnn;kan
tidakkkk;tidak
kemuh;kamu
da;sudah
keren2;keren-keren
sby;surabaya
buanget;banget
kebawa;terbawa
mimpiii;mimpi
ketemuuu;ketemu
wanjerrr;anjir
satupunn;satupun
motret;memotret
kapan2;kapan-kapan
lapakk;lapak
nyeniii;menyeni
seeh;sih
deuhh;duh
b2an;berduaan
dihargain;dihargai
"engga""";enggak-enggak
tahun2;tahun-tahun
gilsss;gila
nganbek;mengambek
enk;enak
mendam;memendam
manta;mantan
relaaaa;rela
bgun;bangun
tdur;tidur
anugrah;anugerah
awoohhh;allah
kli;kali
sbbyak;sebanyak
apun;apapun
nyangkutnya;menyangkutnya
paraah;parah
dijelekin;dijelekkan
bntu;bantu
azeeeek;asik
ntikk;cantik
uhh;uh
mayan;lumayan
mnisss;manis
tambahim;tambahkan
gilaaaa;gila
canttikkk;cantik
baanggeettt;banget
siiihh;sih
krpoooo;kepo
pengn;pengin
nyok;yuk
dekkk;dek
mmang;memang
nentuin;menentukan
mnjmput;menjemput
ygs;sayang
dahh;deh
mblooo;jomblo
ber'expresi;berekspresi
ciumman;ciuman
aurot;aurat
laginy;laginya
nyaaaaaaaaaaaaa;nya
alkhamdulilah;alhamdulillah
ktnya;katanya
selaluu;selalu
anjirrr;anjir
ngeh;engah
amen;amin
ngmngnya;mengomongnya
sampai2;sampai-sampai
hal2;hal-hal
komunitas2;komunitas-komunitas
fotony;fotonya
halllo;halo
ngiritya;mengiritnya
hematt;hemat
ciyeeee;cie
nget;banget
kususnya;khususnya
krm;kirim
sam;sama
ajaaahhhhh;saja
syediiihhh;sedih
malangg;malang
belooomm;belum
yaakk;ya
kebukti;terbukti
anak2e;anak-anaknya
tuwanya;tuanya
comen2nya;komen-komennya
pedesssss;pedas
jelas2;jelas-jelas
nyebut2;menyebut-nyebut
anak2mu;anak-anakmu
plg;pulang
smbil;sambil
hellooooooo;halo
ngrebut;merebut
taek;tahi
hancurin;menghancurkan
bangkret;bangkrut
ngmng;mengomong
lahhhhhh;lah
kedokk;kedok
"mati""an";mati-matian
serem2;seram-seram
"ngumpet""";mengumpet-ngumpet
blim;belum
mnjijikaaaaaan;menjijikkan
astgfrlh;astagfirullah
sahabatt;sahabat
gnyngka;enggak menyangka
sendirir;sendiri
brengsekk;brengsek
mbg;mbak
ngomentnya;mengomentarinya
helo;halo
dpotong;dipotong
ngmgin;mengomongkan
bilangg;bilang
gkhianati;mengkhianati
sp;siapa
pljaran;pelajaran
